CES-ID,MSW05_Binomial,TreeTipNamePartial,UphamTreeName.full,Suborder,White,White-tips,Black-tips,Contrasting,Tufts,Naked,Fluffy,Tail_length,Prehen-Bin,Fatty,Autotomy,Mean_Annual_Temp ,Noc,Di,Crep,SocialGrpSize,Litter_size,Hib,A,F,Q,T,shade_score,Openness-Score,Mass,PrecipVar,SnakeThreat,OwlThreat,RaptorThreatNonOwl
13796,Cryptomys amatus,Fukomys_amatus,Fukomys_amatus_BATHYERGIDAE_RODENTIA,Hystricomorpha,0,0,0,0,0,0,0,10,0,0,0,NA,NA,NA,NA,3,NA,0,0,1,0,0,0.325,0.725,NA,NA,NA,NA,NA
13797,Fukomys anselli,Fukomys_anselli,Fukomys_anselli_BATHYERGIDAE_RODENTIA,Hystricomorpha,0,0,0,0,0,0,0,15,0,0,0,NA,1,1,1,3,2.7,0,0,1,0,0,0.331,0.7375,86,119.9113506,36.58333333,9.75,38
13798,Fukomys bocagei,Fukomys_bocagei,Fukomys_bocagei_BATHYERGIDAE_RODENTIA,Hystricomorpha,0,0,0,0,0,0,0,6,0,0,0,20.932,1,1,1,3,NA,0,0,1,0,0,0.267,0.633333333,94,98.52136061,35.53676471,6.801470588,26.16176471
13799,Fukomys damarensis,Fukomys_damarensis,Fukomys_damarensis_BATHYERGIDAE_RODENTIA,Hystricomorpha,0,0,0,0,0,0,0,18,0,0,0,21.187,1,1,1,3,3,0,0,1,0,0,0.35,0.65,153.3,103.2814313,27.34831461,6.91011236,28.18539326
13800,Fukomys darlingi,Fukomys_darlingi,Fukomys_darlingi_BATHYERGIDAE_RODENTIA,Hystricomorpha,0,0,0,0,0,0,0,7,0,0,0,NA,NA,NA,NA,3,1.84,0,0,1,0,0,0.321,0.703225806,64.9,108.4944755,43.86046512,9.930232558,39.30232558
13801,Fukomys foxi,Fukomys_foxi,Fukomys_foxi_BATHYERGIDAE_RODENTIA,Hystricomorpha,0,0,0,0,0,0,0,12,0,0,0,25.576,1,1,1,3,NA,0,0,1,0,0,0.3,0.8,146,101.5906748,49.83333333,7.166666667,31.33333333
13795,Cryptomys hottentotus,Cryptomys_hottentotus,Cryptomys_hottentotus_BATHYERGIDAE_RODENTIA,Hystricomorpha,0,0,0,0,0,0,0,13,0,0,0,16.12237142,1,1,1,3,2.48,0,0,1,0,0,0.325,0.725,102,69.52208561,26.71563981,5.962085308,22.55450237
13804,Fukomys kafuensis,Fukomys_kafuensis,Fukomys_kafuensis_BATHYERGIDAE_RODENTIA,Hystricomorpha,0,0,0,0,0,0,0,19,0,0,0,NA,1,1,1,3,NA,0,0,1,0,0,0.3,0.6,93,119.5530975,35.875,10,38
13806,Fukomys mechowi,Fukomys_mechowi,Fukomys_mechowi_BATHYERGIDAE_RODENTIA,Hystricomorpha,0,0,0,0,0,0,1,15,0,0,0,21.466,1,1,1,3,2.6,0,0,1,0,0,0.333,0.633333333,272,88.84638504,50.14042553,7.919148936,28
13808,Fukomys ochraceocinereus,Fukomys_ochraceocinereus,Fukomys_ochraceocinereus_BATHYERGIDAE_RODENTIA,Hystricomorpha,0,0,0,0,0,0,1,12,0,0,0,24.36,1,1,1,3,3,0,0,1,0,0,0.322,0.657142857,200,58.19978745,70.18543046,8.139072848,21.57615894
13811,Fukomys zechi,Fukomys_zechi,Fukomys_zechi_BATHYERGIDAE_RODENTIA,Hystricomorpha,0,0,0,0,0,0,0,9,0,0,0,27.117,1,1,1,2,NA,0,0,1,0,0,0.325,0.675,223.1,77.94852172,55.06666667,7.2,28.73333333
13812,Georychus capensis,Georychus_capensis,Georychus_capensis_BATHYERGIDAE_RODENTIA,Hystricomorpha,1,0,0,0,0,0,0,13,0,0,0,16.17446014,0,1,0,1,5.94,0,0,1,0,0,0.42,0.64,232.7,46.81406814,18.01666667,4.033333333,16.35
13813,Heliophobius argenteocinereus,Heliophobius_argenteocinereus,Heliophobius_argenteocinereus_BATHYERGIDAE_RODENTIA,Hystricomorpha,0,0,0,0,0,0,0,7,0,0,0,22.67638556,0,1,0,1,2.46,0,0,1,0,0,0.46,0.54,181,94.33691679,34.75399361,7.6485623,32.95207668
15017,Heterocephalus glaber,Heterocephalus_glaber,Heterocephalus_glaber_HETEROCEPHALIDAE_RODENTIA,Hystricomorpha,NA,0,0,0,0,1,0,44,0,0,0,25.75653236,1,1,1,1,11.3,0,0,1,0,0,0.42,0.54,55,94.38764932,15.47345133,4.880530973,20.25221239
13814,Calomyscus bailwardi,Calomyscus_bailwardi,Calomyscus_bailwardi_CALOMYSCIDAE_RODENTIA,Myomorpha,0,0,0,0,1,0,1,101,0,0,0,13.62974843,1,0,0,NA,4,0,0,0,0,1,0.3,0.65,20.4,86.5351815,26.24561404,2.280701754,9.350877193
13815,Calomyscus baluchi,Calomyscus_baluchi,Calomyscus_baluchi_CALOMYSCIDAE_RODENTIA,Myomorpha,0,0,0,0,0,0,0,97,0,0,0,12.67412191,1,0,0,NA,NA,0,0,1,0,1,0.3,0.68,20.1,87.91859808,11.66336634,4.712871287,10.85148515
13816,Calomyscus elburzensis,Calomyscus_elburzensis,Calomyscus_elburzensis_CALOMYSCIDAE_RODENTIA,Myomorpha,0,0,0,0,1,0,1,102,0,0,0,14.33834827,1,0,0,NA,NA,0,0,0,0,1,0.26,0.785714286,17,75.14476175,20.54878049,3.951219512,8.87804878
13817,Calomyscus grandis,Calomyscus_grandis,Calomyscus_grandis_CALOMYSCIDAE_RODENTIA,Myomorpha,0,0,0,0,0,0,0,110,0,0,0,6.932238892,1,0,0,NA,NA,0,0,0,0,1,0.6,0.2,18.3,64.91292332,26,3.272727273,11.54545455
13818,Calomyscus hotsoni,Calomyscus_hotsoni,Calomyscus_hotsoni_CALOMYSCIDAE_RODENTIA,Myomorpha,0,0,0,0,1,0,1,107,0,0,0,22.94018936,1,0,0,NA,NA,0,0,1,0,1,0.3,0.68,16.3,82.63069421,14.35555556,1.577777778,5.311111111
13819,Calomyscus mystax,Calomyscus_mystax,Calomyscus_mystax_CALOMYSCIDAE_RODENTIA,Myomorpha,0,0,0,0,0,0,0,99,0,0,0,12.28963375,1,0,0,NA,4.99,0,0,0,0,1,0.3,0.8,17,65.3416864,22.87,3.62,10.34
13820,Calomyscus tsolovi,Calomyscus_tsolovi,Calomyscus_tsolovi_CALOMYSCIDAE_RODENTIA,Myomorpha,0,0,0,0,1,0,1,86,0,0,0,17.7611111,1,0,0,NA,NA,0,NA,NA,NA,NA,0.2,0.733333333,12.7,103.2859184,18.75,3.25,7.25
13821,Calomyscus urartensis,Calomyscus_urartensis,Calomyscus_urartensis_CALOMYSCIDAE_RODENTIA,Myomorpha,1,1,0,1,1,0,1,99,0,0,0,11.67142262,1,0,0,NA,4,0,0,0,0,1,0.3,0.733333333,16.5,54.3151124,19.5,1.714285714,10.78571429
13822,Capromys pilorides,Capromys_pilorides,Capromys_pilorides_CAPROMYIDAE_RODENTIA,Hystricomorpha,0,0,0,0,0,0,0,48,0,1,0,25.08472331,1,0,0,2,2,0,1,0,0,1,0.825,0.1,3090,60.48387277,1.192982456,0.807017544,1.070175439
13823,Geocapromys brownii,Geocapromys_brownii,Geocapromys_brownii_CAPROMYIDAE_RODENTIA,Hystricomorpha,0,0,0,0,0,0,0,12,0,0,0,23.69449359,1,0,0,3,1.73,0,0,0,0,1,0.433,0.6,1500,45.5712797,2.666666667,0.666666667,1
13825,Geocapromys ingrahami,Geocapromys_ingrahami,Geocapromys_ingrahami_CAPROMYIDAE_RODENTIA,Hystricomorpha,0,0,0,0,0,0,0,18,0,0,0,26.09583322,1,0,0,NA,1.04,0,0,0,0,1,0.5,0.466666667,800,48.34555912,0,0,0
13827,Hexolobodon phenax,Hexolobodon_phenax,Hexolobodon_phenax_CAPROMYIDAE_RODENTIA,Hystricomorpha,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,3160,NA,0,0,0
13828,Isolobodon montanus,Isolobodon_montanus,Isolobodon_montanus_CAPROMYIDAE_RODENTIA,Hystricomorpha,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0.8,1520,NA,0,0,0
13829,Isolobodon portoricensis,Isolobodon_portoricensis,Isolobodon_portoricensis_CAPROMYIDAE_RODENTIA,Hystricomorpha,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1040,NA,0,0,0
13830,Mesocapromys angelcabrerai,Mesocapromys_angelcabrerai,Mesocapromys_angelcabrerai_CAPROMYIDAE_RODENTIA,Hystricomorpha,0,0,0,0,0,0,0,70,1,0,0,25.80052076,0,1,0,2,NA,0,0,0,0,1,0.5,0.15,483,69.83474037,3.5,2,2.5
13831,Mesocapromys auritus,Mesocapromys_auritus,Mesocapromys_auritus_CAPROMYIDAE_RODENTIA,Hystricomorpha,0,0,1,1,0,0,0,69,1,0,0,25.37921512,0,1,0,NA,NA,0,0,0,0,1,0.5,0.15,820,65.50860806,2.833333333,1.333333333,1.666666667
NA,Mesocapromys melanurus,Mysateles_melanurus,NA,Hystricomorpha,0,0,0,0,0,0,1,78,1,0,1,24.67917,1,0,0,NA,1.75,0,1,0,0,1,0.53,0.566666667,NA,NA,NA,NA,NA
13833,Mesocapromys nanus,Mesocapromys_nanus,Mesocapromys_nanus_CAPROMYIDAE_RODENTIA,Hystricomorpha,0,0,0,0,0,0,0,80,1,0,1,25.32083,0,1,0,NA,1,0,0,0,0,0,0.2,0.2,414.9,65.63601828,2.833333333,1.333333333,1.666666667
13834,Mesocapromys sanfelipensis,Mesocapromys_sanfelipensis,Mesocapromys_sanfelipensis_CAPROMYIDAE_RODENTIA,Hystricomorpha,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.37917,0,1,0,NA,NA,NA,NA,NA,NA,NA,0.2,0.2,550,NA,0,0,0
13838,Mysateles prehensilis,Mysateles_prehensilis,Mysateles_prehensilis_CAPROMYIDAE_RODENTIA,Hystricomorpha,0,0,0,0,0,0,1,78,1,0,1,25.06909893,1,0,0,NA,2,0,1,0,0,0,0.9,0.1,NA,NA,NA,NA,NA
13839,Plagiodontia aedium,Plagiodontia_aedium,Plagiodontia_aedium_CAPROMYIDAE_RODENTIA,Hystricomorpha,0,0,0,0,0,1,0,39,1,0,0,22.76683201,1,0,0,2,1.14,0,1,0,0,1,0.55,0.45,2630,49.67131105,3.5,1,1.681818182
13840,Plagiodontia ipnaeum,Plagiodontia_ipnaeum,Plagiodontia_ipnaeum_CAPROMYIDAE_RODENTIA,Hystricomorpha,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,3670,NA,0,0,0
13841,Castor canadensis,Castor_canadensis,Castor_canadensis_CASTORIDAE_RODENTIA,Castorimorpha,0,0,0,0,0,1,0,29,0,1,0,3.353141397,1,0,1,2,3.6,1,0,0,1,1,0.32,0.2,21820,44.56164174,5.296239682,5.393763375,7.360440232
13842,Castor fiber,Castor_fiber,Castor_fiber_CASTORIDAE_RODENTIA,Castorimorpha,0,0,0,0,0,1,0,29,0,1,0,3.672105324,1,0,1,NA,2.95,0,0,0,1,1,0.455,0.325,19000,35.65383917,2.815171583,6.680915111,11.089705
13843,Cavia aperea,Cavia_aperea,Cavia_aperea_CAVIIDAE_RODENTIA,Hystricomorpha,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,21.84018203,0,0,1,2,2.14,0,0,0,0,1,0.225,0.7,549,55.61388935,61.51996008,7.168662675,17.75249501
13844,Cavia fulgida,Cavia_fulgida,Cavia_fulgida_CAVIIDAE_RODENTIA,Hystricomorpha,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,20.52194982,0,0,1,NA,1.34,0,0,0,0,1,0.7,0.333333333,282.5,61.72606014,72.97368421,8.309210526,20
13845,Cavia intermedia,Cavia_intermedia,Cavia_intermedia_CAVIIDAE_RODENTIA,Hystricomorpha,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,0,1,NA,1.5,0,0,0,0,1,NA,NA,660.5,23.13992335,46.75,7.5,16
13846,Cavia magna,Cavia_magna,Cavia_magna_CAVIIDAE_RODENTIA,Hystricomorpha,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,17.90980572,0,0,1,NA,NA,0,0,0,0,1,0.55,0.45,460,13.94197846,34.77358491,7.283018868,13.79245283
13849,Cavia tschudii,Cavia_tschudii,Cavia_tschudii_CAVIIDAE_RODENTIA,Hystricomorpha,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,12.10332651,0,0,1,NA,1.9,NA,0,0,0,1,0.5,0.4,1000,87.99995033,27.95238095,2.973544974,7.55026455
13850,Dolichotis patagonum,Dolichotis_patagonum,Dolichotis_patagonum_CAVIIDAE_RODENTIA,Hystricomorpha,0,0,0,0,0,0,0,4.6,0,0,0,14.10605529,0,1,0,2,1.75,0,0,0,0,1,0.5,0.5,8000,52.19430425,10.09848485,3.481060606,10.70833333
13851,Dolichotis salinicola,Dolichotis_salinicola,Dolichotis_salinicola_CAVIIDAE_RODENTIA,Hystricomorpha,0,0,0,0,0,0,0,4.3,0,0,0,21.94536144,0,1,0,NA,1.94,0,0,0,0,1,0.3,0.6,1600,76.3007212,44.11188811,6.020979021,16
13853,Galea flavidens,Galea_flavidens,Galea_flavidens_CAVIIDAE_RODENTIA,Hystricomorpha,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,23.65890042,0,1,0,NA,NA,NA,0,0,0,1,0.3,0.7,450,85.21092317,81.4375,6.5,19.8125
13856,Galea musteloides,Galea_musteloides,Galea_musteloides_CAVIIDAE_RODENTIA,Hystricomorpha,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,11.74145331,0,1,0,NA,2.6,0,0,0,0,1,0.35,0.65,NA,NA,NA,NA,NA
13857,Galea spixii,Galea_spixii,Galea_spixii_CAVIIDAE_RODENTIA,Hystricomorpha,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,24.90185442,0,1,0,1,2.19,0,0,0,0,1,0.2,0.666666667,326.2,82.08627619,64.23846154,5.523076923,16.43846154
13858,Hydrochoerus hydrochaeris,Hydrochoerus_hydrochaeris,Hydrochoerus_hydrochaeris_CAVIIDAE_RODENTIA,Hystricomorpha,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,24.08310359,0,1,0,3,3.49,0,0,0,1,1,0.467,0.3,62449.6,58.79926622,75.27118644,7.352425482,17.94447691
13859,Hydrochoerus isthmius,Hydrochoerus_isthmius,Hydrochoerus_isthmius_CAVIIDAE_RODENTIA,Hystricomorpha,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,24.85040598,0,1,0,NA,4.99,0,0,0,1,1,0.55,0.15,35000,49.15393794,31.525,4.075,9.9375
13860,Kerodon acrobata,Kerodon_acrobata,Kerodon_acrobata_CAVIIDAE_RODENTIA,Hystricomorpha,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,24.14334592,0,0,1,NA,NA,0,0,0,0,1,0.3,0.5,1305.2,87.05782212,77.4,6.4,19.86666667
13861,Kerodon rupestris,Kerodon_rupestris,Kerodon_rupestris_CAVIIDAE_RODENTIA,Hystricomorpha,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,24.16597926,0,0,1,2,1.52,0,0,0,0,1,0.15,0.7,800,86.67375776,57.91304348,5.144927536,16.61594203
13862,Microcavia australis,Microcavia_australis,Microcavia_australis_CAVIIDAE_RODENTIA,Hystricomorpha,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,13.56627571,0,1,0,3,2.48,0,0,0,0,1,0.3,0.533333333,286.1,55.5937569,11.17877095,3.539106145,10.35195531
13863,Microcavia niata,Microcavia_niata,Microcavia_niata_CAVIIDAE_RODENTIA,Hystricomorpha,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,8.045206133,0,1,0,NA,3.16,0,0,0,0,1,0.15,0.5,255.2,104.4062788,23.37142857,2.342857143,5.114285714
13864,Microcavia shiptoni,Microcavia_shiptoni,Microcavia_shiptoni_CAVIIDAE_RODENTIA,Hystricomorpha,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,9.696907635,0,1,0,NA,3.6,0,0,0,0,1,0.15,0.8,185,107.9484274,21,2.533333333,8.466666667
13865,Chinchilla chinchilla,Chinchilla_chinchilla,Chinchilla_chinchilla_CHINCHILLIDAE_RODENTIA,Hystricomorpha,0,0,0,0,0,0,1,29,0,0,0,7.316309073,1,0,1,3,2.5,0,0,0,0,1,0.25,0.8,500,97.8791204,14.51111111,2.1,4.566666667
13866,Chinchilla lanigera,Chinchilla_lanigera,Chinchilla_lanigera_CHINCHILLIDAE_RODENTIA,Hystricomorpha,0,0,0,0,0,0,1,67,0,0,0,12.93470646,1,0,1,5,1.87,0,0,0,0,1,0.333,0.666666667,417,94.64152954,1.055555556,1.277777778,3.444444444
13867,Lagidium ahuacaense,Lagidium_ahuacaense,Lagidium_ahuacaense_CHINCHILLIDAE_RODENTIA,Hystricomorpha,0,0,0,0,0,0,1,99,0,0,0,17.88,NA,NA,NA,NA,NA,NA,0,0,0,1,0.2,0.8,2000,91.56398141,24.14285714,2.642857143,8
13869,Lagidium viscacia,Lagidium_viscacia,Lagidium_viscacia_CHINCHILLIDAE_RODENTIA,Hystricomorpha,0,0,1,1,0,0,1,78,0,0,0,11.01724268,0,1,0,4,1,0,0,0,0,1,0.2,0.8,NA,NA,NA,NA,NA
13870,Lagidium wolffsohni,Lagidium_wolffsohni,Lagidium_wolffsohni_CHINCHILLIDAE_RODENTIA,Hystricomorpha,0,0,0,0,0,0,1,65,0,0,0,4.846735345,0,0,1,3,NA,0,0,0,0,1,0.2,0.8,2682,19.25084242,0.055555556,2.611111111,7.666666667
13872,Lagostomus maximus,Lagostomus_maximus,Lagostomus_maximus_CHINCHILLIDAE_RODENTIA,Hystricomorpha,0,0,0,0,0,0,1,31.7,0,0,0,17.24389343,0,0,1,4,1.93,0,0,0,0,1,0.2,0.766666667,4647.5,60.02397291,22.6,4.317241379,12.63103448
13874,Abrawayaomys ruschii,Abrawayaomys_ruschii,Abrawayaomys_ruschii_CRICETIDAE_RODENTIA,Myomorpha,0,1,0,1,0,1,0,101.3,0,0,0,19.65382532,1,0,0,NA,NA,NA,0,0,0,1,1,0.1,63,57.93450596,81.10416667,10.52083333,24.02083333
13875,Abrothrix andinus,Abrothrix_andinus,Abrothrix_andinus_CRICETIDAE_RODENTIA,Myomorpha,1,0,0,0,0,0,0,72.6,0,0,0,6.7385042,1,1,1,NA,NA,0,0,1,0,1,0.35,0.65,18,92.8733264,17.04605263,2.447368421,6.105263158
13878,Abrothrix illutea,Abrothrix_illuteus,Abrothrix_illuteus_CRICETIDAE_RODENTIA,Myomorpha,0,0,0,0,0,0,0,71.7,0,0,0,17.92,1,1,1,NA,NA,0,0,0,0,1,NA,NA,47.8,100.0597058,25.05,3.65,11.55
13879,Abrothrix jelskii,Abrothrix_jelskii,Abrothrix_jelskii_CRICETIDAE_RODENTIA,Myomorpha,0,0,0,0,0,0,0,77.7,0,0,0,7.708052429,1,1,1,NA,NA,0,0,1,0,1,0.28,0.74,34.5,92.42634226,27.86259542,2.870229008,6.534351145
13880,Abrothrix lanosus,Abrothrix_lanosus,Abrothrix_lanosus_CRICETIDAE_RODENTIA,Myomorpha,0,1,0,1,0,0,0,69.3,0,0,0,5.19036081,1,1,1,NA,NA,NA,0,0,0,1,0.5,0.4,32.5,16.86666101,0,2.06,5.96
13881,Abrothrix longipilis,Abrothrix_longipilis,Abrothrix_longipilis_CRICETIDAE_RODENTIA,Myomorpha,NA,0,0,0,0,1,0,66.8,0,0,0,8.217619633,1,1,1,NA,3.7,0,0,1,0,1,0.42,0.46,37.6,40.37213849,1.305825243,2.616504854,7.344660194
13884,Abrothrix olivaceus,Abrothrix_olivaceus,Abrothrix_olivaceus_CRICETIDAE_RODENTIA,Myomorpha,NA,0,0,0,0,1,0,68.7,0,0,0,9.169700382,1,1,1,NA,5.34,0,0,1,0,1,0.433,0.533333333,27,41.54604633,1.415584416,2.136363636,5.824675325
13885,Abrothrix sanborni,Abrothrix_sanborni,Abrothrix_sanborni_CRICETIDAE_RODENTIA,Myomorpha,NA,0,0,0,0,1,0,71.6,0,0,0,8.633675533,1,1,1,NA,NA,0,0,0,0,1,0.6,0.2,24.7,49.42359675,0.192307692,1.846153846,5.230769231
13890,Aepeomys lugens,Aepeomys_lugens,Aepeomys_lugens_CRICETIDAE_RODENTIA,Myomorpha,0,0,0,0,1,1,1,105.2,0,0,0,14.92791288,1,0,0,NA,NA,0,0,0,0,1,0.567,0.466666667,37,51.26225077,51,7.714285714,16.21428571
13891,Aepeomys reigi,Aepeomys_reigi,Aepeomys_reigi_CRICETIDAE_RODENTIA,Myomorpha,0,0,0,0,1,1,1,112.67,0,0,0,22.1397741,1,0,0,NA,NA,NA,0,0,0,1,0.567,0.466666667,40.6,55.37047755,41.5,7.375,15.125
13892,Akodon aerosus,Akodon_aerosus,Akodon_aerosus_CRICETIDAE_RODENTIA,Myomorpha,0,0,0,0,0,1,0,72.6,0,0,0,19.8454145,1,1,1,NA,NA,NA,0,0,0,1,0.425,0.625,60,57.45835625,58.72093023,5.162790698,13.37209302
